date,1. open,2. high,3. low,4. close,5. volume
2021-12-21,18.06,18.825,17.96,18.74,9267470.0
2021-12-20,18.215,18.77,17.92,18.01,11363643.0
2021-12-17,18.91,19.23,18.125,19.03,19037983.0
2021-12-16,20.02,20.26,19.1,19.13,10443005.0
2021-12-15,19.91,20.25,18.94,19.89,13239529.0
2021-12-14,20.21,20.74,19.24,19.5,12186416.0
2021-12-13,20.0,21.11,19.9,20.89,9899995.0
2021-12-10,20.7,21.29,19.45,20.2,10933878.0
2021-12-09,21.21,22.13,20.59,20.69,11140521.0
2021-12-08,20.755,21.32,19.64,20.98,21719219.0
2021-12-07,21.8,22.18,21.3,21.78,12272878.0
2021-12-06,21.0,21.349,19.72,20.74,10332171.0
2021-12-03,23.25,23.4399,21.0,21.57,10588340.0
2021-12-02,23.63,24.455,22.88,23.29,7779575.0
2021-12-01,25.62,25.79,23.5,23.52,8588787.0
2021-11-30,25.785,26.75,24.46,25.52,11282382.0
2021-11-29,26.055,26.23,25.05,26.06,7823946.0
2021-11-26,25.02,25.99,25.0,25.82,5215227.0
2021-11-24,25.6,26.34,24.74,26.17,6926387.0
2021-11-23,26.98,27.9,25.51,25.85,8528591.0
2021-11-22,27.47,28.53,26.5701,27.3,11792364.0
2021-11-19,25.93,27.199,25.83,26.9,6840026.0
2021-11-18,27.3,27.47,25.68,26.13,11027839.0
2021-11-17,27.45,28.72,26.82,27.69,12708415.0
2021-11-16,26.95,27.48,25.34,27.45,13851465.0
2021-11-15,27.04,27.16,26.18,26.93,9375993.0
2021-11-12,26.1,27.37,25.91,26.82,12613565.0
2021-11-11,24.84,25.98,24.64,25.68,7789130.0
2021-11-10,25.5,25.68,24.08,24.52,10309449.0
2021-11-09,28.16,28.24,25.26,25.82,14651208.0
2021-11-08,27.57,28.29,26.5114,27.6,30445413.0
2021-11-05,24.99,25.41,24.195,24.69,7086609.0
2021-11-04,25.05,25.29,24.32,24.59,4735690.0
2021-11-03,23.97,24.9599,23.68,24.81,6881445.0
2021-11-02,25.4,25.52,23.835,24.26,9651135.0
2021-11-01,25.05,26.1,24.825,25.66,10082769.0
2021-10-29,23.91,24.89,23.88,24.78,7733102.0
2021-10-28,22.84,24.3599,22.72,24.16,10663238.0
2021-10-27,23.15,23.52,22.6,22.72,5194991.0
2021-10-26,23.1,23.5299,22.45,22.84,9266369.0
2021-10-25,21.62,23.09,21.52,22.99,9736579.0
2021-10-22,21.885,21.9,20.95,21.35,5824017.0
2021-10-21,21.0,22.37,21.0,22.02,9183633.0
2021-10-20,21.18,21.26,20.74,21.18,5924676.0
2021-10-19,20.4,21.259,20.26,21.19,11542603.0
2021-10-18,19.68,19.94,19.4605,19.91,5024053.0
2021-10-15,19.66,20.035,19.4151,19.71,4576606.0
2021-10-14,20.16,20.16,19.71,19.92,6742895.0
